Branch_ID	Branch	City
500	A	Yangon
501	B	Mandalay
502	C	Naypyitaw
503	C	Naypyitaw
504	B	Mandalay
505	B	Mandalay
506	A	Yangon
507	B	Mandalay
508	B	Mandalay
509	B	Mandalay
510	C	Naypyitaw
511	B	Mandalay
512	A	Yangon
513	A	Yangon
514	A	Yangon
515	C	Naypyitaw
516	C	Naypyitaw
517	B	Mandalay
518	C	Naypyitaw
519	A	Yangon
520	C	Naypyitaw
521	B	Mandalay
522	C	Naypyitaw
523	A	Yangon
524	C	Naypyitaw
525	A	Yangon
526	A	Yangon
527	B	Mandalay
528	B	Mandalay
529	B	Mandalay
530	A	Yangon
531	A	Yangon
532	A	Yangon
533	B	Mandalay
534	C	Naypyitaw
535	A	Yangon
536	C	Naypyitaw
537	B	Mandalay
538	A	Yangon
539	A	Yangon
540	C	Naypyitaw
541	A	Yangon
542	C	Naypyitaw
543	B	Mandalay
544	C	Naypyitaw
545	B	Mandalay
546	B	Mandalay
547	A	Yangon
548	A	Yangon
549	B	Mandalay
550	A	Yangon
551	B	Mandalay
552	B	Mandalay
553	B	Mandalay
554	C	Naypyitaw
555	A	Yangon
556	B	Mandalay
557	B	Mandalay
558	C	Naypyitaw
559	A	Yangon
560	A	Yangon
561	B	Mandalay
562	C	Naypyitaw
563	B	Mandalay
564	A	Yangon
565	B	Mandalay
566	A	Yangon
567	C	Naypyitaw
568	A	Yangon
569	B	Mandalay
570	C	Naypyitaw
571	B	Mandalay
572	B	Mandalay
573	A	Yangon
574	B	Mandalay
575	A	Yangon
576	B	Mandalay
577	B	Mandalay
578	C	Naypyitaw
579	A	Yangon
580	B	Mandalay
581	C	Naypyitaw
582	A	Yangon
583	C	Naypyitaw
584	B	Mandalay
585	B	Mandalay
586	A	Yangon
587	A	Yangon
588	A	Yangon
589	C	Naypyitaw
590	A	Yangon
591	C	Naypyitaw
592	C	Naypyitaw
593	A	Yangon
594	A	Yangon
595	B	Mandalay
596	B	Mandalay
597	A	Yangon
598	C	Naypyitaw
599	C	Naypyitaw
600	A	Yangon
601	C	Naypyitaw
602	C	Naypyitaw
603	C	Naypyitaw
604	B	Mandalay
605	C	Naypyitaw
606	B	Mandalay
607	A	Yangon
608	C	Naypyitaw
609	A	Yangon
610	B	Mandalay
611	A	Yangon
612	C	Naypyitaw
613	B	Mandalay
614	C	Naypyitaw
615	A	Yangon
616	A	Yangon
617	B	Mandalay
618	C	Naypyitaw
619	A	Yangon
620	C	Naypyitaw
621	A	Yangon
622	A	Yangon
623	B	Mandalay
624	B	Mandalay
625	B	Mandalay
626	B	Mandalay
627	A	Yangon
628	B	Mandalay
629	A	Yangon
630	A	Yangon
631	A	Yangon
632	A	Yangon
633	A	Yangon
634	B	Mandalay
635	B	Mandalay
636	B	Mandalay
637	A	Yangon
638	C	Naypyitaw
639	B	Mandalay
640	B	Mandalay
641	B	Mandalay
642	C	Naypyitaw
643	B	Mandalay
644	C	Naypyitaw
645	C	Naypyitaw
646	A	Yangon
647	C	Naypyitaw
648	B	Mandalay
649	C	Naypyitaw
650	C	Naypyitaw
651	B	Mandalay
652	B	Mandalay
653	A	Yangon
654	B	Mandalay
655	B	Mandalay
656	A	Yangon
657	C	Naypyitaw
658	A	Yangon
659	A	Yangon
660	A	Yangon
661	B	Mandalay
662	C	Naypyitaw
663	B	Mandalay
664	C	Naypyitaw
665	C	Naypyitaw
666	A	Yangon
667	B	Mandalay
668	B	Mandalay
669	C	Naypyitaw
670	B	Mandalay
671	A	Yangon
672	B	Mandalay
673	B	Mandalay
674	C	Naypyitaw
675	A	Yangon
676	B	Mandalay
677	B	Mandalay
678	A	Yangon
679	C	Naypyitaw
680	A	Yangon
681	B	Mandalay
682	B	Mandalay
683	C	Naypyitaw
684	A	Yangon
685	B	Mandalay
686	B	Mandalay
687	B	Mandalay
688	A	Yangon
689	C	Naypyitaw
690	A	Yangon
691	C	Naypyitaw
692	C	Naypyitaw
693	A	Yangon
694	C	Naypyitaw
695	C	Naypyitaw
696	A	Yangon
697	A	Yangon
698	B	Mandalay
699	A	Yangon
700	C	Naypyitaw
701	C	Naypyitaw
702	B	Mandalay
703	B	Mandalay
704	B	Mandalay
705	B	Mandalay
706	B	Mandalay
707	B	Mandalay
708	C	Naypyitaw
709	C	Naypyitaw
710	A	Yangon
711	A	Yangon
712	C	Naypyitaw
713	C	Naypyitaw
714	C	Naypyitaw
715	C	Naypyitaw
716	A	Yangon
717	A	Yangon
718	A	Yangon
719	A	Yangon
720	B	Mandalay
721	B	Mandalay
722	C	Naypyitaw
723	B	Mandalay
724	C	Naypyitaw
725	B	Mandalay
726	C	Naypyitaw
727	C	Naypyitaw
728	B	Mandalay
729	C	Naypyitaw
730	B	Mandalay
731	A	Yangon
732	A	Yangon
733	A	Yangon
734	B	Mandalay
735	B	Mandalay
736	C	Naypyitaw
737	C	Naypyitaw
738	C	Naypyitaw
739	B	Mandalay
740	A	Yangon
741	C	Naypyitaw
742	C	Naypyitaw
