Branch_ID	Branch	City
1	A	Yangon
2	C	Naypyitaw
3	A	Yangon
4	A	Yangon
5	A	Yangon
6	C	Naypyitaw
7	A	Yangon
8	C	Naypyitaw
9	A	Yangon
10	B	Mandalay
11	B	Mandalay
12	B	Mandalay
13	A	Yangon
14	A	Yangon
15	A	Yangon
16	B	Mandalay
17	A	Yangon
18	A	Yangon
19	A	Yangon
20	B	Mandalay
21	C	Naypyitaw
22	B	Mandalay
23	B	Mandalay
24	A	Yangon
25	A	Yangon
26	A	Yangon
27	B	Mandalay
28	A	Yangon
29	B	Mandalay
30	A	Yangon
31	B	Mandalay
32	B	Mandalay
33	B	Mandalay
34	A	Yangon
35	C	Naypyitaw
36	C	Naypyitaw
37	A	Yangon
38	A	Yangon
39	C	Naypyitaw
40	B	Mandalay
41	B	Mandalay
42	C	Naypyitaw
43	B	Mandalay
44	C	Naypyitaw
45	C	Naypyitaw
46	B	Mandalay
47	B	Mandalay
48	B	Mandalay
49	B	Mandalay
50	C	Naypyitaw
51	C	Naypyitaw
52	A	Yangon
53	B	Mandalay
54	C	Naypyitaw
55	B	Mandalay
56	C	Naypyitaw
57	A	Yangon
58	A	Yangon
59	A	Yangon
60	C	Naypyitaw
61	C	Naypyitaw
62	C	Naypyitaw
63	B	Mandalay
64	A	Yangon
65	B	Mandalay
66	A	Yangon
67	C	Naypyitaw
68	B	Mandalay
69	A	Yangon
70	A	Yangon
71	C	Naypyitaw
72	C	Naypyitaw
73	B	Mandalay
74	C	Naypyitaw
75	A	Yangon
76	C	Naypyitaw
77	C	Naypyitaw
78	A	Yangon
79	C	Naypyitaw
80	C	Naypyitaw
81	C	Naypyitaw
82	B	Mandalay
83	C	Naypyitaw
84	C	Naypyitaw
85	C	Naypyitaw
86	C	Naypyitaw
87	C	Naypyitaw
88	A	Yangon
89	A	Yangon
90	B	Mandalay
91	C	Naypyitaw
92	C	Naypyitaw
93	A	Yangon
94	B	Mandalay
95	C	Naypyitaw
96	A	Yangon
97	B	Mandalay
98	C	Naypyitaw
99	A	Yangon
100	B	Mandalay
101	C	Naypyitaw
102	C	Naypyitaw
103	C	Naypyitaw
104	A	Yangon
105	B	Mandalay
106	A	Yangon
107	C	Naypyitaw
108	A	Yangon
109	C	Naypyitaw
110	C	Naypyitaw
111	B	Mandalay
112	C	Naypyitaw
113	B	Mandalay
114	A	Yangon
115	C	Naypyitaw
116	C	Naypyitaw
117	B	Mandalay
118	B	Mandalay
119	A	Yangon
120	B	Mandalay
121	A	Yangon
122	C	Naypyitaw
123	B	Mandalay
124	C	Naypyitaw
125	B	Mandalay
126	A	Yangon
127	A	Yangon
128	C	Naypyitaw
129	C	Naypyitaw
130	B	Mandalay
131	B	Mandalay
132	A	Yangon
133	B	Mandalay
134	B	Mandalay
135	C	Naypyitaw
136	C	Naypyitaw
137	A	Yangon
138	A	Yangon
139	B	Mandalay
140	A	Yangon
141	C	Naypyitaw
142	C	Naypyitaw
143	C	Naypyitaw
144	C	Naypyitaw
145	A	Yangon
146	C	Naypyitaw
147	A	Yangon
148	C	Naypyitaw
149	B	Mandalay
150	A	Yangon
151	B	Mandalay
152	C	Naypyitaw
153	A	Yangon
154	C	Naypyitaw
155	C	Naypyitaw
156	A	Yangon
157	B	Mandalay
158	B	Mandalay
159	B	Mandalay
160	B	Mandalay
161	C	Naypyitaw
162	A	Yangon
163	A	Yangon
164	C	Naypyitaw
165	B	Mandalay
166	B	Mandalay
167	C	Naypyitaw
168	A	Yangon
169	A	Yangon
170	A	Yangon
171	A	Yangon
172	B	Mandalay
173	C	Naypyitaw
174	B	Mandalay
175	B	Mandalay
176	A	Yangon
177	A	Yangon
178	C	Naypyitaw
179	A	Yangon
180	C	Naypyitaw
181	C	Naypyitaw
182	C	Naypyitaw
183	A	Yangon
184	C	Naypyitaw
185	A	Yangon
186	B	Mandalay
187	B	Mandalay
188	B	Mandalay
189	A	Yangon
190	C	Naypyitaw
191	B	Mandalay
192	B	Mandalay
193	C	Naypyitaw
194	B	Mandalay
195	A	Yangon
196	C	Naypyitaw
197	C	Naypyitaw
198	A	Yangon
199	C	Naypyitaw
200	C	Naypyitaw
201	C	Naypyitaw
202	B	Mandalay
203	C	Naypyitaw
204	B	Mandalay
205	B	Mandalay
206	A	Yangon
207	C	Naypyitaw
208	C	Naypyitaw
209	B	Mandalay
210	B	Mandalay
211	A	Yangon
212	C	Naypyitaw
213	B	Mandalay
214	B	Mandalay
215	B	Mandalay
216	A	Yangon
217	B	Mandalay
218	A	Yangon
219	B	Mandalay
220	B	Mandalay
221	B	Mandalay
222	B	Mandalay
223	C	Naypyitaw
224	C	Naypyitaw
225	A	Yangon
226	C	Naypyitaw
227	B	Mandalay
228	C	Naypyitaw
229	B	Mandalay
